gen-1-149	-2.736149
gen-1-15	-2.361140
gen-1-150	-3.304969
gen-1-151	-3.097623
gen-1-152	-2.955918
gen-1-153	-3.023297
gen-1-154	-2.701152
gen-1-155	-2.814996
gen-1-156	-3.651073
gen-1-157	-3.229316
gen-1-158	-2.980826
gen-1-159	-3.551637
gen-1-16	-2.375666
gen-1-160	-3.697514
gen-1-161	-3.195868
gen-1-162	-3.053261
gen-1-163	-2.847976
gen-1-164	-3.145180
gen-1-165	-3.340000
gen-1-166	-2.746170
gen-1-167	-3.504124
gen-1-168	-3.429678
gen-1-169	-3.075566
gen-1-17	-2.496563
gen-1-170	-3.760300
gen-1-171	-3.882924
gen-1-172	-3.563726
gen-1-173	-3.342051
gen-1-174	-3.134909
gen-1-175	-3.327907
gen-1-176	-3.127004
gen-1-177	-3.308239
gen-1-178	-2.823135
gen-1-179	-3.327877
gen-1-18	-3.467022
gen-1-180	-2.791695
gen-1-181	-2.982575
gen-1-182	-2.761511
gen-1-183	-3.481807
gen-1-184	-3.443269
gen-1-185	-2.642645
gen-1-186	-3.422379
gen-1-187	-3.637975
gen-1-188	-2.845999
gen-1-189	-3.438386
gen-1-19	-2.793846
gen-1-190	-3.460557
gen-1-191	-2.659185
gen-1-192	-3.309625
gen-1-193	-2.395228
gen-1-194	-2.742489
gen-1-195	-2.926645
gen-1-196	-2.924909
gen-1-197	-3.266002
gen-1-198	-3.489880
gen-1-199	-2.787931
gen-1-2	-3.249500
gen-1-20	-3.305263
gen-1-21	-3.209084
gen-1-22	-3.612961
gen-1-23	-2.843371
gen-1-24	-2.338667
gen-1-25	-2.948532
gen-1-26	-3.659183
gen-1-27	-3.419077
gen-1-28	-2.890785
gen-1-29	-3.282074
gen-1-3	-3.362098
gen-1-30	-3.103194
gen-1-31	-2.885479
gen-1-32	-3.172240
gen-1-33	-3.459999
gen-1-34	-3.084917
gen-1-35	-3.761857
gen-1-36	-3.087669
gen-1-37	-2.954706
gen-1-38	-2.375904
gen-1-39	-2.987498
gen-1-4	-3.282973
gen-1-40	-3.195751
gen-1-41	-3.188136
gen-1-42	-2.873598
gen-1-43	-3.670202
gen-1-44	-3.441679
gen-1-45	-3.535212
gen-1-46	-3.553236
gen-1-47	-3.360626
gen-1-48	-3.354370
gen-1-49	-3.258349
gen-1-5	-2.820233
gen-1-50	-3.518569
gen-1-51	-3.276905
gen-1-52	-3.364033
gen-1-53	-3.113759
gen-1-54	-3.068103
gen-1-55	-3.346798
gen-1-56	-2.834911
gen-1-57	-3.453557
gen-1-58	-3.100741
gen-1-59	-3.756584
gen-1-6	-3.200278
gen-1-60	-3.346772
gen-1-61	-2.922245
gen-1-62	-3.076735
gen-1-63	-2.993935
gen-1-64	-2.707390
gen-1-65	-3.476518
gen-1-66	-2.330040
gen-1-67	-2.933515
gen-1-68	-3.032300
gen-1-69	-1.921271
gen-1-7	-3.412677
gen-1-70	-3.738179
gen-1-71	-3.551505
gen-1-72	-2.758502
gen-1-73	-3.662746
gen-1-74	-2.872465
gen-1-75	-3.186604
gen-1-76	-3.305182
gen-1-77	-3.164122
gen-1-78	-2.886349
gen-1-79	-3.345062
gen-1-8	-3.138990
gen-1-80	-2.918133
gen-1-81	-3.758749
gen-1-82	-3.246689
gen-1-83	-3.100839
gen-1-84	-2.891193
gen-1-85	-2.334926
gen-1-86	-2.923631
gen-1-87	-2.568743
gen-1-88	-3.204064
gen-1-89	-2.894428
gen-1-9	-3.306046
gen-1-90	-3.530261
gen-1-91	-3.402472
gen-1-92	-3.506163
gen-1-93	-3.542187
gen-1-94	-3.807403
gen-1-95	-3.294640
gen-1-96	-2.267275
gen-1-97	-1.910676
gen-1-98	-3.568427
gen-1-99	-3.130325
gen-2-0	-3.648191
gen-2-1	-2.813932
gen-2-10	-2.730645
gen-2-100	-3.238344
gen-2-101	-3.111969
gen-2-102	-2.674628
gen-2-103	-3.043754
gen-2-104	-2.836151
gen-2-105	-3.244997
gen-2-106	-3.000680
gen-2-107	-3.388248
gen-2-108	-2.880356
gen-2-109	-2.813565
gen-2-11	-3.136731
gen-2-110	-2.953351
gen-2-111	-3.690236
gen-2-112	-3.305081
gen-2-113	-3.470411
gen-2-114	-2.977950
gen-2-115	-3.342943
gen-2-116	-3.306110
